|IVS-R1     |20240415|R1    |106|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240417|R4    |108|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240422|R1    |113|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240424|R4    |115|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240429|R1    |120|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|------------------------------------------------------    -----------
|IVS-R4     |20240501|R4    |122|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240506|R1    |127|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240508|R4    |129|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240513|R1    |134|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240515|R4    |136|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|SPIRALS    |20240518|s003  |139|05:00|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|IVS-R1     |20240520|R1    |141|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240522|R4    |143|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|SPIRALS    |20240524|s014  |145|05:00|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|SPIRALS    |20240525|s003  |146|04:30|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|IVS-R1     |20240527|R1    |148|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240529|R4    |150|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|------------------------------------------------------    -----------
|SPIRALS    |20240601|s003  |153|04:00|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|SPIRALS    |20240602|s014  |154|04:30|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|IVS-R1     |20240603|R1    |155|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240605|R4    |157|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|SPIRALS    |20240607|s015  |159|05:15|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|SPIRALS    |20240608|s003  |160|03:30|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|SPIRALS    |20240609|s014  |161|04:00|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|IVS-R1     |20240610|R1    |162|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240612|R4    |164|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|SPIRALS    |20240615|s003  |167|03:00|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|SPIRALS    |20240616|s014  |168|03:30|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|IVS-R1     |20240617|R1    |169|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240619|R4    |171|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|SPIRALS    |20240621|s014  |173|03:00|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|IVS-R1     |20240624|R1    |176|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240626|R4    |178|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|------------------------------------------------------    -----------
|IVS-R1     |20240701|R1    |183|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240703|R4    |185|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240708|R1    |190|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240710|R4    |192|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240715|R1    |197|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240717|R4    |199|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240722|R1    |204|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240724|R4    |206|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240729|R1    |211|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240731|R4    |213|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|------------------------------------------------------    -----------
|IVS-R1     |20240805|R1    |218|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240807|R4    |220|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
