## Master file format version 2.0           2022.11.01 CAD&CCT

                         2023 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - March 02, 2023 - CCT

   SESSION      DATE     SESSION    DOY TIME   DUR       STATIONS                             SKED CORR  STATUS  DBC  SUBM DEL 
     TYPE     yyyymmdd     CODE     ddd hh:mm  h:mm                                                     yyyymmdd CODE      days 
--------------------------------------------------------------------------------------------------------------------------------
|VGOS-INT-A  |20230127|v23027      | 27|18:45| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-2   |20230128|q23028      | 28|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-2   |20230129|q23029      | 29|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-S   |20230130|z23030      | 30|06:30| 1:00|HbHt                                     |DACH|UTAS|        | MH |VIEN|   0|
|IVS-INT-3   |20230130|q23030      | 30|07:00| 1:00|IsNsWz -Ny                               |DACH|BONN|        | XK |NASA|   0|
|IVS-INT-1   |20230130|i23030      | 30|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230130|v23030      | 30|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|VGOS-INT-Y  |20230131|y23031      | 31|14:00| 1:00|GsSaYj                                   |DACH|YEBS|        | VH |NASA|   0|
|VGOS-INT-TST|20230131|y3031a      | 31|15:15| 0:06|GsSaYj                                   |NASA|YEBS|        | VT |NASA|   0|
|IVS-INT-1   |20230131|i23031      | 31|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230131|v23031      | 31|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
--------------------------------------------------------------------------------------------------------------------------------
|IVS-INT-1   |20230202|i23033      | 33|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230202|v23033      | 33|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230202|ii3033      | 33|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20230203|i23034      | 34|18:45| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230203|v23034      | 34|18:45| 1:00|K2 -Oe                                   |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-2   |20230204|q23035      | 35|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-2   |20230205|q23036      | 36|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-S   |20230206|z23037      | 37|06:30| 1:00|HbHt                                     |DACH|UTAS|        | MH |VIEN|   0|
|IVS-INT-3   |20230206|q23037      | 37|07:00| 1:00|IsNsWz -Ny                               |DACH|BONN|        | XK |NASA|   0|
|IVS-INT-1   |20230206|i23037      | 37|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230206|v23037      | 37|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230206|ii3037      | 37|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|VGOS-INT-Y  |20230207|y23038      | 38|14:00| 1:00|GsSaYj                                   |DACH|YEBS|        | VH |NASA|   0|
|VGOS-INT-TST|20230207|y3038a      | 38|15:15| 0:06|GsSaYj                                   |NASA|YEBS|        | VT |NASA|   0|
|IVS-INT-1   |20230207|i23038      | 38|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230207|v23038      | 38|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-1   |20230208|i23039      | 39|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230208|v23039      | 39|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-1   |20230209|i23040      | 40|18:30| 1:00|KkSvWz                                   |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230209|v23040      | 40|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230209|ii3040      | 40|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20230210|i23041      | 41|18:45| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230210|v23041      | 41|18:45| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-2   |20230211|q23042      | 42|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-2   |20230212|q23043      | 43|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-S   |20230213|z23044      | 44|06:30| 1:00|Ht -Hb                                   |DACH|UTAS|        | MH |VIEN|   0|
|IVS-INT-3   |20230213|q23044      | 44|07:00| 1:00|IsNsWz -Ny                               |DACH|BONN|        | XK |NASA|   0|
|IVS-INT-1   |20230213|i23044      | 44|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230213|v23044      | 44|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230213|ii3044      | 44|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|VGOS-INT-Y  |20230214|y23045      | 45|14:00| 1:00|GsSaYj                                   |DACH|YEBS|        | VH |NASA|   0|
|IVS-INT-1   |20230214|i23045      | 45|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230214|v23045      | 45|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-1   |20230215|i23046      | 46|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230215|v23046      | 46|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-1   |20230216|i23047      | 47|18:30| 1:00|KkSvWz                                   |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230216|v23047      | 47|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230216|ii3047      | 47|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20230217|i23048      | 48|18:45| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230217|v23048      | 48|18:45| 1:00|K2 -Oe                                   |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-2   |20230218|q23049      | 49|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-2   |20230219|q23050      | 50|07:30| 1:00|IsWz -Mk                                 |DACH|GSI |        | XK |GSI |   0|
