## Master file format version 2.0           2022.11.01 CAD&CCT

                         2023 MULTI-AGENCY SCHEDULE

                     Last Updated - March 02, 2023 - CCT

   SESSION      DATE     SESSION    DOY TIME   DUR                         STATIONS                        SKED CORR  STATUS  DBC  SUBM DEL
     TYPE     yyyymmdd     CODE     ddd hh:mm  h:mm                                                                  yyyymmdd CODE      days
--------------------------------------------------------------------------------------------------------------------------------------------
|IVS-R1      |20230403|r11097      | 93|17:00|24:00|FtHbHtKeKvMcNsNtNyOnWz                                |NASA|BONN|        | XA |NASA| -33|
|VGOS-24INT-S|20230403|s22409      | 93|17:00|24:00|MgOeWs                                                |DACH|WETZ|        | VJ |NASA| -33|
|IVS-T2      |20230404|t2160       | 94|17:30|24:00|3656FtHtKgKvNsNyOhOnSmWz -26                          |DACH|BONN|        | XH |BKG | -34|
|VGOS-OPS    |20230405|vo3095      | 95|18:00|24:00|GsHbIsK2MgWfWsYj                                      |NASA|WASH|        | VG |NASA| -35|
|IVS-R4      |20230405|r41097      | 95|18:30|24:00|FtHtKeKkMcSvWwWz                                      |USNO|WASH|        | XE |USNO| -35|
|IVS-R1      |20230411|r11098      |101|17:00|24:00|AgFtHbHtKeKvMaNsNyOnWz                                |NASA|BONN|        | XA |NASA| -41|
|IVS-RD      |20230412|rd2303      |102|18:00|24:00|FtHhKkMcNsNyOnT6Wz                                    |OSO |SHAO|        | XA |NASA| -42|
|VGOS-OPS    |20230412|vo3102      |102|18:00|24:00|GsHbIsK2KeMgOeOwWfWsYj                                |NASA|BONN|        | VG |NASA| -42|
|IVS-R4      |20230413|r41098      |103|18:30|24:00|BdFtHbHtKeKkNsNySvWzZc                                |USNO|WASH|        | XE |USNO| -43|
|AUS-MIX     |20230414|aum071      |104|19:00|24:00|HbHoKeYg                                              |UTAS|UTAS|        | XA |NASA| -44|
|AUS-MIX     |20230415|aum072      |105|19:30|24:00|HbHoKeYg                                              |UTAS|UTAS|        | XA |NASA| -45|
|IVS-R1      |20230417|r11099      |107|17:00|24:00|BdHbHtKeKvMaNsNySvZc                                  |NASA|BONN|        | XA |NASA| -47|
|AUS-AST     |20230418|aua099      |108|17:30|24:00|HbHoHtKe                                              |DACH|UTAS|        | XA |NASA| -48|
|VGOS-OPS    |20230420|vo3110      |110|18:00|24:00|GsIsK2KeMgOeOwWfWsYj                                  |NASA|VIEN|        | VG |NASA| -50|
|IVS-R4      |20230420|r41099      |110|18:30|24:00|HbHtKkNsNySvUrWzZc                                    |USNO|WASH|        | XE |USNO| -50|
|IVS-R1      |20230424|r11100      |114|17:00|24:00|FtHbHtKeKvNsNyOnShWz                                  |NASA|BONN|        | XA |NASA| -54|
|IVS-RDV     |20230425|rv158       |115|17:30|24:00|HhHoNsNyOnShVaWz                                      |USNO|VLBA|        | XA |USNO| -55|
|AOV         |20230426|aov082      |116|18:00|24:00|HbIsKeKgKvT6UrWw                                      |SHAO|SHAO|        | XA |NASA| -56|
|VGOS-OPS    |20230427|vo3117      |117|18:00|24:00|GsHbIsK2MgOeOwWfWsYj                                  |NASA|WETZ|        | VG |NASA| -57|
